 拎包入住,AI影音,免服務費,免管理費,南北通透,可入籍,可報稅,可短租,可開伙,可養寵物,押一付一,新上架,有車位,有陽台,有電梯,社會住宅,租金補貼,隨時可遷入,高齡友善,ping,addr,Rent,type,title,lat,lng,cluster,title_clean,title_tokens,可租補,陽台
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,21.0,台北市文山區忠順街一段26巷13弄,18000,4,木柵2房-一年起租光線明亮✔空間寬敞✔小資首選,24.982803010057,121.55962852013,4,木柵2房 一年起租光線明亮 空間寬敞 小資首選,"['木柵', '2', '房', ' ', '一年', '起租', '光線', '明亮', ' ', '空間', '寬', '敞', ' ', '小資', '首選']",0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.0,台北市文山區萬盛街,12000,2,🏠萬隆站｜生活機能超強｜拎包入住首選｜優質套房(已付訂),25.00602159615,121.540720604509,14,萬隆站 生活機能超強 拎包入住首選 優質套房 已付訂,"['萬隆', '站', ' ', '生活', '機能', '超強', ' ', '拎包', '入住', '首選', ' ', '優質', '套房', ' ', '已付', '訂']",0,0
1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,8.0,台北市文山區羅斯福路五段,18000,3,交通便採光佳,25.005255054602,121.5388267536,14,交通便採光佳,"['交通', '便', '採光佳']",0,0
1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,8.0,台北市文山區興隆路一段87號,9000,3,溫馨套房-近萬隆捷運站、公館商圈，交通便利。,25.003070363311,121.541443672749,2,溫馨套房 近萬隆捷運站 公館商圈 交通便利,"['溫馨', '套房', ' ', '近萬隆捷', '運站', ' ', '公館', '商圈', ' ', '交通', '便利']",0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8.0,台北市文山區育英街8號,15000,3,景美實惠套房✨❗️（鄰近捷運站、生活機能方便）,24.991008385546,121.539135296614,15,景美實惠套房 鄰近捷運站 生活機能方便,"['景美', '實惠', '套房', ' ', '鄰近', '捷運站', ' ', '生活', '機能', '方便']",0,0
1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,6.0,台北市文山區辛亥路五段,14998,3,萬芳醫院站/近中國科技大學/獨立洗脫烘/獨立陽台/變頻冷氣,24.998159731729,121.553071822137,7,萬芳醫院站 近中國科技大學 獨立洗脫烘 獨立陽台 變頻冷氣,"['萬芳', '醫院', '站', ' ', '近中國', '科技', '大學', ' ', '獨立', '洗脫', '烘', ' ', '獨立陽台', ' ', '變頻', '冷氣']",0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7.0,台北市文山區萬隆街,14000,2,近台大/公館-萬隆捷運站雅靜套房,25.000596075024,121.53747996232,11,近台大 公館 萬隆捷運站雅靜套房,"['近', '台大', ' ', '公館', ' ', '萬隆捷', '運站', '雅靜', '套房']",0,0
1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,18.0,台北市文山區木柵路一段,19500,4,品位居所❤木柵路一段|18.0坪,24.986870628629,121.546508825123,0,品位居所 木柵路一段 18 0坪,"['品位', '居所', ' ', '木柵路', '一段', ' ', '18', ' ', '0', '坪']",0,0
1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,17.3,台北市文山區景興路188號,19000,3,⭐友善屋源⭐社宅⭐近捷運/機能佳⭐可租補/入籍⭐免仲介費⭐,24.99223214341,121.543843579266,5,友善屋源 社宅 近捷運 機能佳 可租補 入籍 免仲介費,"['友善', '屋源', ' ', '社宅', ' ', '近捷運', ' ', '機能', '佳', ' ', '可租補', ' ', '入籍', ' ', '免', '仲介', '費']",1,0
1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,8.8,台北市文山區仙岩路16巷46號,13500,3,⭐友善屋源⭐社宅⭐採光套房/陽台⭐租屋補助/入籍⭐免仲介費⭐,24.996726394164,121.550233271695,7,友善屋源 社宅 採光套房 陽台 租屋補助 入籍 免仲介費,"['友善', '屋源', ' ', '社宅', ' ', '採光', '套房', ' ', '陽台', ' ', '租屋', '補助', ' ', '入籍', ' ', '免', '仲介', '費']",1,1
1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,18.0,台北市文山區木柵路一段,19500,4,超正~精美裝潢附家具家電之陽台1房1廳,24.986870628629,121.546508825123,0,超正 精美裝潢附家具家電之陽台1房1廳,"['超正', ' ', '精美', '裝潢', '附', '家具', '家電之陽台', '1', '房', '1', '廳']",0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6.0,台北市文山區景美街63號,10100,3,文山區景美商圈即刻入住捷運雙人開窗套房,24.990944054439,121.541874837848,15,文山區景美商圈即刻入住捷運雙人開窗套房,"['文山', '區', '景美', '商圈', '即刻', '入住', '捷運', '雙人', '開窗', '套房']",0,0
